World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Output,Quality Publications,Influence,Citations,Score
1,Harvard University,USA,1,2,1,1,1,1,1,1,100
2,Stanford University,USA,2,10,3,2,10,4,3,2,96.7
3,Massachusetts Institute of Technology,USA,3,3,11,3,30,15,2,6,95.1
4,University of Cambridge,United Kingdom,1,5,19,6,12,8,6,19,94
5,University of Oxford,United Kingdom,2,9,25,10,9,5,7,4,93.2
6,"University of California, Berkeley",USA,4,7,52,5,18,12,4,8,92.5
7,Princeton University,USA,5,4,15,4,146,99,28,27,91.9
8,Columbia University,USA,6,16,13,8,20,14,10,10,91.4
9,California Institute of Technology,USA,7,1,200,7,127,81,13,31,91
10,University of Chicago,USA,8,13,22,9,39,22,18,10,90.6
11,Yale University,USA,9,11,34,12,37,19,11,31,90.3
12,University of Tokyo,Japan,1,17,8,33,7,17,23,29,90
13,University of Pennsylvania,USA,10,31,9,30,16,11,17,13,89.7
14,Cornell University,USA,11,14,28,19,31,24,15,40,89.4
15,"University of California, Los Angeles",USA,12,58,63,11,13,10,14,5,89.1
16,Johns Hopkins University,USA,13,24,159,17,8,6,12,3,88.9
17,University of Toronto,Canada,1,86,157,23,2,2,16,7,88.7
18,"University of Michigan, Ann Arbor",USA,14,47,38,68,3,3,20,10,88.4
19,University of Washington - Seattle,USA,15,75,220,26,11,9,9,9,88.2
20,"University of California, San Diego",USA,16,37,> 1000,16,28,16,5,16,88
21,University College London,United Kingdom,3,32,739,28,5,7,19,19,87.8
22,"University of California, San Francisco",USA,17,-,> 1000,13,45,23,8,17,87.7
23,Northwestern University,USA,18,129,18,44,52,28,36,34,87.5
24,Duke University,USA,19,98,46,47,36,20,21,14,87.3
25,New York University,USA,20,64,40,18,70,50,29,35,87.2
26,Kyoto University,Japan,2,25,29,24,29,45,48,101,87
27,University of Wisconsin–Madison,USA,21,65,79,32,32,26,30,15,86.9
28,ETH Zurich,Switzerland,1,29,98,20,57,42,27,59,86.7
29,Sorbonne University,France,1,46,344,56,6,13,24,22,86.6
30,Imperial College London,United Kingdom,4,93,103,43,21,18,25,29,86.5
31,University of Texas at Austin,USA,22,108,62,29,73,58,58,24,86.3
32,University of Illinois at Urbana–Champaign,USA,23,40,150,27,65,55,61,50,86.2
33,University of North Carolina at Chapel Hill,USA,24,205,120,72,50,30,33,21,86.1
34,University of Edinburgh,United Kingdom,5,61,325,36,72,56,31,48,86
35,University of Minnesota Twin Cities,USA,25,131,302,76,24,21,35,28,85.9
36,Washington University in St. Louis,USA,26,206,161,64,81,46,22,22,85.8
37,McGill University,Canada,2,68,86,65,44,36,53,39,85.6
38,University of British Columbia,Canada,3,173,699,78,25,27,37,24,85.5
39,University of Copenhagen,Denmark,1,302,364,79,26,29,26,38,85.4
40,Ohio State University,USA,27,165,254,70,33,31,50,35,85.3
41,Rutgers University-New Brunswick,USA,28,212,101,35,74,67,62,59,85.2
42,"University of California, Davis",USA,29,83,579,75,42,35,39,31,85.1
43,Pennsylvania State University,USA,30,374,168,60,43,40,41,51,85
44,University of Manchester,United Kingdom,6,171,227,63,49,48,65,35,85
45,Weizmann Institute of Science,Israel,1,8,> 1000,22,445,292,69,254,84.9
46,Heidelberg University,Germany,1,71,807,51,63,64,51,53,84.8
47,"University of Maryland, College Park",USA,31,103,480,55,92,72,45,42,84.7
48,Ludwig Maximilian University of Munich,Germany,2,91,266,83,53,57,42,46,84.6
49,Karolinska Institute,Sweden,1,162,> 1000,46,67,53,46,108,84.5
50,University of Colorado Boulder,USA,32,134,170,41,145,111,40,59,84.4
51,University of Southern California,USA,33,215,111,40,121,88,74,66,84.4
52,University of Arizona,USA,34,166,164,53,111,96,43,48,84.3
53,Osaka University,Japan,3,70,65,61,59,82,83,174,84.2
54,University of Paris-Sud,France,2,49,815,38,103,86,98,76,84.1
55,University of Geneva,Switzerland,2,35,381,31,147,130,87,72,84
56,Boston University,USA,35,572,112,106,113,75,52,26,84
57,University of Melbourne,Australia,1,232,408,180,35,34,54,40,83.9
58,Brown University,USA,36,95,50,50,186,125,85,80,83.8
59,"University of California, Irvine",USA,37,264,> 1000,42,133,97,64,57,83.8
60,Seoul National University,South Korea,1,-,20,-,19,39,146,129,83.7
61,Hebrew University of Jerusalem,Israel,2,19,400,15,177,143,122,405,83.6
62,University of Florida,USA,38,472,485,113,40,44,90,43,83.6
63,"Purdue University, West Lafayette",USA,39,96,83,58,94,93,106,129,83.5
64,Vanderbilt University,USA,40,148,91,140,95,63,57,45,83.4
65,University of Bristol,United Kingdom,7,186,296,48,126,100,67,85,83.4
66,University of Texas Southwestern Medical Center,USA,41,33,> 1000,39,244,151,34,187,83.3
67,Sapienza University of Rome,Italy,1,117,486,34,61,103,195,71,83.2
68,King's College London,United Kingdom,8,43,341,110,88,65,79,72,83.2
69,University of Zurich,Switzerland,3,267,771,108,80,70,49,51,83.1
70,"University of California, Santa Barbara",USA,42,149,596,25,229,146,80,63,83
71,University of Sydney,Australia,2,231,590,208,27,33,71,46,83
72,Utrecht University,Netherlands,1,122,352,137,58,43,56,66,82.9
73,University of Pittsburgh,USA,43,187,233,-,34,25,47,18,82.9
74,University of Queensland,Australia,3,310,541,181,46,51,63,53,82.8
75,University of Oslo,Norway,1,97,633,52,99,102,112,93,82.8
76,Rockefeller University,USA,44,15,> 1000,14,786,434,32,275,82.7
77,University of São Paulo,Brazil,1,583,256,109,4,60,162,139,82.6
78,"Texas A&M University, College Station",USA,45,625,183,57,85,95,133,101,82.6
79,University of Virginia,USA,46,271,31,168,151,116,95,85,82.5
80,Emory University,USA,47,-,197,164,101,66,55,63,82.5
81,Free University of Berlin,Germany,3,112,> 1000,124,64,76,72,85,82.4
82,Australian National University,Australia,4,188,666,37,153,136,101,121,82.4
83,University of Utah,USA,48,169,187,80,125,105,68,93,82.3
84,Paris Diderot University,France,3,192,> 1000,101,122,108,44,76,82.3
85,Tel Aviv University,Israel,3,105,143,59,108,115,129,151,82.2
86,Uppsala University,Sweden,2,102,548,84,107,107,66,114,82.2
87,University of Barcelona,Spain,1,386,472,181,47,54,91,72,82.1
88,Aarhus University,Denmark,2,589,379,114,83,79,78,121,82.1
89,University of Texas MD Anderson Cancer Center,USA,49,-,> 1000,91,158,104,70,66,82
90,Leiden University,Netherlands,2,228,> 1000,118,118,78,81,80,82
91,Carnegie Mellon University,USA,50,34,145,21,318,228,221,129,81.9
92,Peking University,China,1,340,67,-,23,38,88,167,81.9
93,University of Helsinki,Finland,1,109,> 1000,135,82,83,77,108,81.8
94,Baylor College of Medicine,USA,51,-,> 1000,141,161,118,38,53,81.8
95,Lund University,Sweden,3,294,753,122,90,90,121,76,81.7
96,University of Alberta,Canada,4,281,371,192,62,69,117,80,81.7
97,Grenoble Alpes University,France,4,334,> 1000,157,89,87,75,93,81.7
98,Tsinghua University,China,2,586,109,-,22,41,96,108,81.6
99,University of Basel,Switzerland,4,142,393,54,218,162,89,139,81.6
100,University of Groningen,Netherlands,3,363,482,131,97,73,104,93,81.5
101,Humboldt University of Berlin,Germany,4,570,> 1000,225,69,77,73,80,81.5
102,École Polytechnique Fédérale de Lausanne,Switzerland,5,400,92,141,184,126,102,53,81.4
103,National University of Singapore,Singapore,1,-,148,-,38,32,94,85,81.4
104,Ghent University,Belgium,1,311,685,190,55,68,136,101,81.3
105,University of Rochester,USA,52,73,74,139,220,148,139,66,81.3
106,Erasmus University Rotterdam,Netherlands,4,-,90,264,120,84,107,72,81.3
107,KU Leuven,Belgium,2,-,429,-,48,47,84,66,81.2
108,University of Bern,Switzerland,6,183,> 1000,102,160,144,105,85,81.2
109,National Taiwan University,Taiwan,1,140,37,-,51,61,223,151,81.1
110,University of Montreal,Canada,5,486,455,205,86,91,93,139,81.1
111,"University of California, Santa Cruz",USA,53,343,> 1000,45,412,275,60,93,81.1
112,Technical University of Munich,Germany,5,89,339,226,106,98,86,139,81
113,Nagoya University,Japan,4,69,366,67,132,165,169,222,81
114,Arizona State University,USA,54,-,796,111,155,139,113,114,80.9
115,University of Bonn,Germany,6,123,494,105,167,158,123,101,80.9
116,École Polytechnique,France,5,85,5,240,488,396,348,254,80.9
117,École normale supérieure,France,6,6,627,82,598,442,227,460,80.8
118,University of Nottingham,United Kingdom,9,317,375,98,138,121,179,114,80.8
119,University of New South Wales,Australia,5,399,126,278,68,74,154,85,80.8
120,Tohoku University,Japan,5,82,158,246,60,101,166,167,80.7
121,McMaster University,Canada,6,339,660,202,140,133,124,57,80.7
122,Dartmouth College,USA,55,48,17,232,372,258,185,240,80.6
123,University of Amsterdam,Netherlands,5,175,872,298,79,62,82,85,80.6
124,Monash University,Australia,6,455,405,-,56,59,100,101,80.6
125,University of Hamburg,Germany,7,594,414,177,139,138,130,114,80.5
126,Moscow State University,Russia,1,23,384,71,98,289,279,304,80.5
127,VU University Amsterdam,Netherlands,6,-,984,-,91,71,132,44,80.5
128,Stony Brook University,USA,56,373,> 1000,62,270,197,115,187,80.4
129,Rice University,USA,57,67,93,77,407,283,163,108,80.4
130,Radboud University Nijmegen,Netherlands,7,172,533,-,114,80,99,59,80.4
131,Cardiff University,United Kingdom,10,338,483,95,212,182,148,121,80.3
132,University of Tübingen,Germany,8,94,> 1000,122,152,141,118,240,80.3
133,University of Colorado Denver | Anschutz Medical Campus,USA,58,-,> 1000,94,234,167,134,139,80.3
134,University of Iowa,USA,59,292,373,212,148,120,108,151,80.2
135,University of Strasbourg,France,7,113,> 1000,49,258,197,157,275,80.2
136,Shanghai Jiao Tong University,China,3,619,236,-,17,52,203,167,80.2
137,University of Southampton,United Kingdom,11,603,285,243,134,114,119,151,80.1
138,Aix-Marseille University,France,8,401,941,-,87,89,76,139,80.1
139,Georgia Institute of Technology,USA,60,282,151,157,144,117,171,222,80.1
140,Tokyo Institute of Technology,Japan,6,303,71,87,195,233,218,222,80
141,University of Montpellier,France,9,565,> 1000,214,142,129,125,139,80
142,Case Western Reserve University,USA,61,60,259,280,183,140,109,76,80
143,Indiana University Bloomington,USA,62,237,78,133,267,193,161,163,79.9
144,Michigan State University,USA,63,209,281,-,110,106,145,65,79.9
145,University of Western Australia,Australia,7,273,663,253,123,123,141,121,79.9
146,University of Lausanne,Switzerland,7,144,791,104,286,215,120,151,79.8
147,Technion – Israel Institute of Technology,Israel,4,79,271,69,271,227,213,200,79.8
148,University of Milan,Italy,2,384,691,229,117,130,184,114,79.8
149,Goethe University Frankfurt,Germany,9,220,642,107,219,205,152,222,79.7
150,University of Padua,Italy,3,553,> 1000,-,96,110,144,80,79.7
151,Oregon Health & Science University,USA,64,-,> 1000,172,295,208,111,108,79.7
152,Autonomous University of Barcelona,Spain,2,-,> 1000,153,131,135,206,187,79.6
153,Icahn School of Medicine at Mount Sinai,USA,65,-,> 1000,-,202,145,59,101,79.6
154,Tufts University,USA,66,100,64,229,272,212,178,151,79.6
155,University of Göttingen,Germany,10,80,316,224,188,171,138,187,79.6
156,Royal Institute of Technology,Sweden,4,266,45,126,242,232,322,222,79.5
157,Zhejiang University,China,4,-,568,-,15,49,244,304,79.5
158,University of Glasgow,United Kingdom,12,284,264,-,165,128,103,114,79.5
159,Stockholm University,Sweden,5,243,276,263,247,200,110,93,79.4
160,University of Notre Dame,USA,67,397,30,103,379,274,286,327,79.4
161,Université catholique de Louvain,Belgium,3,355,524,116,254,217,254,85,79.4
162,University of Sheffield,United Kingdom,13,330,440,281,154,147,160,93,79.4
163,University of Warwick,United Kingdom,14,221,239,164,233,184,204,151,79.3
164,University of Leeds,United Kingdom,15,104,291,-,150,137,127,139,79.3
165,University of Freiburg,Germany,11,217,209,286,187,160,128,129,79.3
166,University of Gothenburg,Sweden,6,501,427,141,208,189,175,187,79.2
167,North Carolina State University,USA,68,121,416,153,170,168,235,200,79.2
168,Wageningen University and Research,Netherlands,8,534,962,223,207,175,170,129,79.2
169,University of Birmingham,United Kingdom,16,164,355,292,129,119,142,187,79.2
170,Fudan University,China,5,-,210,-,54,94,188,275,79.1
171,University of Hong Kong,Hong Kong,1,432,165,-,136,132,183,114,79.1
172,University of Vienna,Austria,1,443,489,138,249,247,159,174,79.1
173,Nanyang Technological University,Singapore,2,-,> 1000,-,93,85,243,121,79.1
174,Hokkaido University,Japan,7,415,305,177,137,173,209,304,79
175,Keio University,Japan,8,549,12,-,303,324,273,363,79
176,Université libre de Bruxelles,Belgium,4,358,258,81,290,264,228,200,79
177,Iowa State University,USA,69,563,245,134,203,195,214,222,78.9
